Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
September–November,4.4,5.74,8.44,11,13,16,18.4,24.7,32,45,67,103,180,1,8.97,4.71,3.45,2.69,2.07
,,,,,,,,,,,,,,7,11.1,5.64,4.07,3.15,2.39
,,,,,,,,,,,,,,30,20.7,9.65,6.55,4.78,3.37
,,,,,,,,,,,,,,90,55.1,28,19.8,15,11.1
"03111500—Short Creek near Dillonvale OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 65.3 ft3/s—Average streamflow: 142 ft3/s—Minimum daily streamflow: 11.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,19,23.4,29.1,35.1,41.7,48,55,73,94,120,151,197,282,1,24,17,14.3,12.5,10.7
,,,,,,,,,,,,,,7,26.2,18.4,15.4,13.4,11.5
,,,,,,,,,,,,,,30,33,22.7,18.9,16.4,14
,,,,,,,,,,,,,,90,44.9,30.1,24.9,21.5,18.4
May–November,17,20.6,24.7,28.6,32.6,37,41.3,51.5,64.2,80.9,103,136,204,1,24.1,17,14.3,12.4,10.7
,,,,,,,,,,,,,,7,26.3,18.4,15.3,13.3,11.4
,,,,,,,,,,,,,,30,32.8,22.5,18.7,16.3,14
,,,,,,,,,,,,,,90,44.8,29.9,24.7,21.3,18.2
December–February,29,35,43,50,57,66.1,75,95.4,119,145,182,232,340,1,43.5,28.4,23.3,20,17.1
,,,,,,,,,,,,,,7,49.9,32.2,26.3,22.5,19.1
,,,,,,,,,,,,,,30,85.6,54,43,35.8,29.4
,,,,,,,,,,,,,,90,158,109,89.9,77.1,65
September–November,16,18.4,21.3,24,27,30,32.6,39.1,47,58.5,75,99,152,1,25,17.2,14.5,12.7,11.1
,,,,,,,,,,,,,,7,27.1,18.5,15.6,13.7,12.1
,,,,,,,,,,,,,,30,37.5,24.3,19.9,17.1,14.6
,,,,,,,,,,,,,,90,58.7,37.4,30.6,26.4,22.7
"03111548—Wheeling Creek below Blaine OH—Statistics based on water years: 1983–2020
Harmonic mean flow: 53.9 ft3/s—Average streamflow: 115 ft3/s—Minimum daily streamflow: 7.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,17,20.9,25,29.4,34,39,45,58.7,75,94,118,154,223,1,19.6,13.8,11.4,9.76,8.16
,,,,,,,,,,,,,,7,21.4,15,12.4,10.6,8.82
,,,,,,,,,,,,,,30,26.1,17.9,14.8,12.7,10.7
,,,,,,,,,,,,,,90,34.9,24.7,21.3,19.2,17.3
May–November,14,19,21.8,24,26.8,30,33,41,50,62.8,78.9,103,153,1,20,14,11.6,9.88,8.21
,,,,,,,,,,,,,,7,21.8,15.3,12.6,10.7,8.88
,,,,,,,,,,,,,,30,26.1,17.9,14.9,12.8,10.8
,,,,,,,,,,,,,,90,34.9,24.7,21.3,19.2,17.4
December–February,27.5,32,38,44,51,58,64,78.1,96,117,143,185,276,1,36.7,24.6,20.5,17.9,15.6
,,,,,,,,,,,,,,7,42.6,28,23,19.9,17.1
