Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
"03202000—Raccoon Creek at Adamsville OH—Statistics based on water years: 1975–1985, 1992–2010, 2012–2020
Harmonic mean flow: 94.0 ft3/s—Average streamflow: 661 ft3/s—Minimum daily streamflow: 4.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,15.6,23.4,34.2,47,63,81,104,169,278,423,622,964,"1,780",1,19.6,10.7,7.78,6.01,4.5
,,,,,,,,,,,,,,7,22,12.1,9.01,7.12,5.52
,,,,,,,,,,,,,,30,33.2,17.8,13.2,10.4,8.01
,,,,,,,,,,,,,,90,60.1,31.7,23.9,19.4,15.8
May–November,13,18,25.2,31,39,46.9,56,79.9,112,161,251,438,906,1,19.3,10.6,7.77,6.03,4.55
,,,,,,,,,,,,,,7,21.6,12,9,7.17,5.61
,,,,,,,,,,,,,,30,31.9,17.5,13.1,10.5,8.31
,,,,,,,,,,,,,,90,57,31.1,24,20,16.7
December–February,58,90,121,160,211,260,306,410,543,722,980,"1,400","2,340",1,114,60.7,44.3,34.3,26
,,,,,,,,,,,,,,7,141,74.8,54.5,42.3,32.1
,,,,,,,,,,,,,,30,336,179,129,98.5,72.7
,,,,,,,,,,,,,,90,861,576,465,389,318
September–November,9.1,13.9,18.2,22,26,29,33,44,61.7,88,135,247,526,1,19.2,10.4,7.71,6.11,4.76
,,,,,,,,,,,,,,7,21.7,11.9,8.97,7.26,5.83
,,,,,,,,,,,,,,30,37.2,17.3,12.3,9.58,7.45
,,,,,,,,,,,,,,90,111,49.1,33.9,25.7,19.3
"03205470—Symmes Creek at Aid OH—Statistics based on water years: 2001–2020
Harmonic mean flow: 6.36 ft3/s—Average streamflow: 359 ft3/s—Minimum daily streamflow: 0.07 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.6,1.45,3.15,6.16,12.3,21,33.2,67.4,120,200,300,494,"1,020",1,1.17,0.32,0.16,0.09,0.05
,,,,,,,,,,,,,,7,1.49,0.44,0.23,0.14,0.08
,,,,,,,,,,,,,,30,3.95,1.05,0.5,0.27,0.13
,,,,,,,,,,,,,,90,17.3,5.12,2.59,1.44,0.72
May–November,0.36,0.9,1.68,2.56,4.08,5.94,8.9,19,34.3,58.7,105,193,485,1,1.21,0.34,0.17,0.1,0.05
,,,,,,,,,,,,,,7,1.52,0.47,0.25,0.15,0.09
,,,,,,,,,,,,,,30,3.89,1.09,0.54,0.29,0.15
,,,,,,,,,,,,,,90,15.7,4.97,2.66,1.56,0.84
December–February,22,37,62,81.8,105,131,168,223,292,380,550,840,"1,390",1,45.3,18.2,11.1,7.29,4.49
,,,,,,,,,,,,,,7,69.5,31.6,20.4,14.1,9.18
,,,,,,,,,,,,,,30,215,98.2,60.5,39,22.8
,,,,,,,,,,,,,,90,506,329,254,201,151
September–November,0.26,0.38,0.79,1.21,1.71,2.3,3.35,6.43,16.6,32.6,62.4,137,381,1,1.3,0.34,0.17,0.09,0.05
,,,,,,,,,,,,,,7,1.77,0.47,0.24,0.14,0.08
,,,,,,,,,,,,,,30,6.75,1.28,0.53,0.25,0.1
,,,,,,,,,,,,,,90,43.4,10.4,5.06,2.81,1.46
"03217500—Scioto River at La Rue OH—Statistics based on water years: 2010–2020
Harmonic mean flow: 37.5 ft3/s—Average streamflow: 311 ft3/s—Minimum daily streamflow: 3.07 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,8.43,10.1,13.1,17.6,22.9,29,37.1,54.6,83,124,192,351,864,1,8.83,5.53,4.36,3.59,2.9
,,,,,,,,,,,,,,7,9.67,6.27,5.12,4.38,3.72
,,,,,,,,,,,,,,30,12.4,8.44,7.33,6.7,6.21
,,,,,,,,,,,,,,90,25.5,13.2,9.81,7.89,6.33
May–November,7.51,9.04,10.5,12.3,14.5,17.5,20.9,29.3,45,64.4,101,197,538,1,8.26,5.29,4.26,3.59,2.98
,,,,,,,,,,,,,,7,9.33,6.24,5.2,4.54,3.95
,,,,,,,,,,,,,,30,12.8,8.77,7.61,6.94,6.39
,,,,,,,,,,,,,,90,25.8,13.8,10.4,8.44,6.83
December–February,18.2,23.4,30.4,37.1,43.6,51.2,57.9,80.3,124,167,259,438,"1,090",1,24.4,15.9,13.3,11.6,10.2
,,,,,,,,,,,,,,7,34.9,22.5,18.4,15.8,13.5
,,,,,,,,,,,,,,30,102,51.5,35.9,26.6,18.9
,,,,,,,,,,,,,,90,370,214,150,109,72.4
September–November,5.47,7.72,9.2,9.86,10.9,11.8,12.9,16,21.2,33.4,56.4,106,346,1,8.44,5.31,4.25,3.58,2.98
,,,,,,,,,,,,,,7,11.2,6.66,5.21,4.3,3.52
,,,,,,,,,,,,,,30,18.7,7.9,5.82,4.83,4.14
,,,,,,,,,,,,,,90,85,30.4,18,11.9,7.46
"03219590—Bokes Creek near Warrensburg OH—Statistics based on water years: 1983–1997
Harmonic mean flow: 0.59 ft3/s—Average streamflow: 71.6 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0,0,0,0.36,1.3,2.5,4.9,10,18,31,46,76,172,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0,0,0,0,0
,,,,,,,,,,,,,,30,0,0,0,0,0
,,,,,,,,,,,,,,90,1.1,0.01,0,0,0
May–November,0,0,0,0,0,0.37,0.88,2.4,5.9,11,22,42,103,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0,0,0,0,0
,,,,,,,,,,,,,,30,0,0,0,0,0
,,,,,,,,,,,,,,90,1.1,0,0,0,0
December–February,0.85,2.6,5.7,8,9.6,12,14,22,32,47,70,110,251,1,6.62,2.9,1.46,0,0
,,,,,,,,,,,,,,7,7.52,3.34,1.77,0,0
,,,,,,,,,,,,,,30,21.9,6.09,2.38,0.95,0.28
,,,,,,,,,,,,,,90,99.9,39.8,19.6,9.67,3.77
September–November,0,0,0,0,0,0,0,0.54,1.4,3,7.6,24,67,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0,0,0,0,0
,,,,,,,,,,,,,,30,0.19,0,0,0,0
,,,,,,,,,,,,,,90,13.3,0.94,0.06,0,0
"03220000—Mill Creek near Bellepoint OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 18.5 ft3/s—Average streamflow: 194 ft3/s—Minimum daily streamflow: 0.54 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3.53,4.9,6.8,8.8,11.3,14,17.9,27.4,40.5,59,92,166,453,1,4.08,2.33,1.59,1.11,0.71
,,,,,,,,,,,,,,7,5.04,3.35,2.67,2.2,1.76
,,,,,,,,,,,,,,30,7.09,4.39,3.54,3.01,2.55
,,,,,,,,,,,,,,90,14.5,7.37,5.39,4.25,3.32
May–November,3,4.14,5.5,6.6,7.6,9.1,11,14.3,20,29,44,76.2,203,1,4.18,2.38,1.62,1.12,0.7
,,,,,,,,,,,,,,7,5.23,3.44,2.72,2.22,1.75
,,,,,,,,,,,,,,30,7.45,4.59,3.67,3.1,2.59
,,,,,,,,,,,,,,90,15.2,7.72,5.61,4.4,3.4
December–February,5.8,12,16,21,26,31.4,37,51,68,96,148,272,747,1,16.5,9.71,7.16,5.5,4.02
,,,,,,,,,,,,,,7,20.2,11.5,8.29,6.24,4.45
,,,,,,,,,,,,,,30,52.4,23.2,15,10.4,6.9
,,,,,,,,,,,,,,90,269,152,102,69.3,42
September–November,2.9,3.6,4.8,5.7,6.39,7,7.8,10,13,17.1,27.2,50,127,1,4.56,2.59,1.81,1.3,0.86
,,,,,,,,,,,,,,7,5.93,3.75,2.98,2.46,2
,,,,,,,,,,,,,,30,9.89,4.97,3.78,3.13,2.63
,,,,,,,,,,,,,,90,43.5,14.8,8.43,5.28,3.11
"03223000—Olentangy River at Claridon OH—Statistics based on water years: 1975–1998
Harmonic mean flow: 11.8 ft3/s—Average streamflow: 170 ft3/s—Minimum daily streamflow: 0.03 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,2.4,4.2,6.7,9,12,16,20,33,50,74,110,181,406,1,3.81,1.01,0.38,0.14,0.04
,,,,,,,,,,,,,,7,4.36,1.36,0.6,0.27,0.1
,,,,,,,,,,,,,,30,6.15,3.02,2.14,1.63,1.21
,,,,,,,,,,,,,,90,14.4,6.54,4.56,3.48,2.64
May–November,1.6,3,4.7,6.1,7.6,9.5,11,16,24,36,55,98,222,1,3.79,0.98,0.36,0.13,0.04
,,,,,,,,,,,,,,7,4.38,1.33,0.58,0.26,0.1
,,,,,,,,,,,,,,30,6.16,2.92,2.05,1.57,1.19
,,,,,,,,,,,,,,90,15.2,6.62,4.5,3.34,2.46
December–February,8.6,9.7,16,23,32,38,46,63,83,110,164,290,691,1,18.7,9.91,7.13,5.44,4.01
,,,,,,,,,,,,,,7,22.1,11.6,8.34,6.36,4.7
,,,,,,,,,,,,,,30,47.4,20.9,13.8,9.89,6.82
,,,,,,,,,,,,,,90,220,142,112,91.5,72.6
September–November,0.87,2.2,3.5,4.6,5.6,6.8,7.9,11,15,20,33,70,180,1,4.36,1,0.36,0.13,0.04
,,,,,,,,,,,,,,7,5.02,1.36,0.58,0.26,0.01
,,,,,,,,,,,,,,30,8.81,3.52,2.22,1.54,1.02
,,,,,,,,,,,,,,90,42,14.2,7.82,4.72,2.63
"03223425—Whetstone Creek at Mt Gilead OH—Statistics based on water years: 1997–2020
Harmonic mean flow: 3.97 ft3/s—Average streamflow: 46.4 ft3/s—Minimum daily streamflow: 0.07 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.75,1.1,1.7,2.29,3.1,4.09,5.14,8.58,14,21,31,50,104,1,1.01,0.44,0.25,0.14,0.07
,,,,,,,,,,,,,,7,1.2,0.53,0.29,0.17,0.08
,,,,,,,,,,,,,,30,1.93,0.83,0.47,0.28,0.14
,,,,,,,,,,,,,,90,3.51,1.76,1.26,0.96,0.72
May–November,0.6,0.88,1.22,1.6,1.87,2.24,2.72,3.95,5.5,8.8,15.1,26.1,56.2,1,1.04,0.45,0.26,0.15,0.07
,,,,,,,,,,,,,,7,1.23,0.55,0.3,0.17,0.08
,,,,,,,,,,,,,,30,1.99,0.86,0.49,0.29,0.15
,,,,,,,,,,,,,,90,3.71,1.83,1.29,0.97,0.71
December–February,3.3,4.5,6,7.38,9,10.5,12.6,17,23,32.8,47.8,74.7,162,1,5.3,3.42,2.7,2.2,1.74
,,,,,,,,,,,,,,7,6.54,4.24,3.38,2.81,2.28
,,,,,,,,,,,,,,30,19.7,10.8,7.84,5.99,4.41
,,,,,,,,,,,,,,90,63.2,41.1,31.5,24.8,18.5
September–November,0.17,0.67,1,1.33,1.63,1.8,2.04,2.86,3.98,5.4,9.11,17.1,36,1,1.18,0.51,0.28,0.16,0.07
,,,,,,,,,,,,,,7,1.44,0.59,0.32,0.18,0.08
,,,,,,,,,,,,,,30,2.5,0.89,0.51,0.31,0.18
,,,,,,,,,,,,,,90,12.2,5.09,3.21,2.18,1.41
"03228300—Big Walnut Creek at Sunbury OH—Statistics based on water years: 1989–2020
Harmonic mean flow: 0.62 ft3/s—Average streamflow: 121 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0,0.07,0.5,1.56,3.2,5.38,8.52,18,33,50,74.9,123,279,1,0.05,0,0,0,0
,,,,,,,,,,,,,,7,0.1,0,0,0,0
,,,,,,,,,,,,,,30,0.7,0.06,0.01,0,0
,,,,,,,,,,,,,,90,5.67,0.76,0.21,0.06,0.01
May–November,0,0.01,0.11,0.36,0.85,1.6,2.6,5.19,9.6,17.3,32,59,151,1,0.06,0,0,0,0
,,,,,,,,,,,,,,7,0.1,0,0,0,0
,,,,,,,,,,,,,,30,0.73,0.06,0.01,0,0
,,,,,,,,,,,,,,90,5.79,0.8,0.22,0.06,0.01
December–February,1.5,6.4,12,16,22,30,37,47.9,63,82.1,114,183,394,1,11.8,4.34,2.26,1.23,0.57
,,,,,,,,,,,,,,7,15.6,5.51,2.81,1.5,0.68
,,,,,,,,,,,,,,30,55.6,20.3,9.56,4.54,1.7
,,,,,,,,,,,,,,90,176,103,69,46.3,27.3
September–November,0,0,0.03,0.11,0.24,0.5,0.9,2.45,4.65,8.4,17.5,35.2,88.6,1,0.11,0,0,0,0
,,,,,,,,,,,,,,7,0.23,0,0,0,0
,,,,,,,,,,,,,,30,1.39,0.14,0.03,0,0
,,,,,,,,,,,,,,90,28.4,4.49,1.24,0.36,0.07
"03228750—Alum Creek near Kilbourne OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 4.70 ft3/s—Average streamflow: 79.4 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.78,1.3,2.18,3.5,5,6.51,8.45,13.8,20.9,30.6,47,75.9,164,1,1.03,0.39,0.21,0.09,0
,,,,,,,,,,,,,,7,1.45,0.5,0.26,0.14,0.07
,,,,,,,,,,,,,,30,2.42,1.13,0.76,0.55,0.38
,,,,,,,,,,,,,,90,5.73,2.6,1.77,1.31,0.94
May–November,0.6,0.98,1.43,1.97,2.59,3.42,4.3,6.22,9.11,13.3,20.1,34,80,1,1.07,0.4,0.21,0.08,0
,,,,,,,,,,,,,,7,1.5,0.52,0.26,0.14,0.06
,,,,,,,,,,,,,,30,2.54,1.18,0.78,0.55,0.38
,,,,,,,,,,,,,,90,6.09,2.69,1.79,1.29,0.9
December–February,5.66,8,10,12.1,15,18,21.1,30,41.7,56,78.7,123,280,1,9.18,5.38,4.08,3.24,2.5
,,,,,,,,,,,,,,7,11.5,6.88,5.29,4.28,3.39
,,,,,,,,,,,,,,30,35.6,19.1,13.4,9.95,7
,,,,,,,,,,,,,,90,112,81.3,68.2,58.8,49.6
September–November,0.47,0.76,1.21,1.65,2.1,2.78,3.5,4.83,6.32,9.41,14.7,23,52,1,1.31,0.5,0.26,0.11,0
,,,,,,,,,,,,,,7,2,0.68,0.33,0.17,0.07
,,,,,,,,,,,,,,30,4.06,1.67,1.07,0.75,0.51
,,,,,,,,,,,,,,90,19.1,7.11,4.22,2.74,1.68
"03229610—Scioto River near Commercial Point OH—Statistics based on water years: 2006–2020
Harmonic mean flow: 1000 ft3/s—Average streamflow: 2880 ft3/s—Minimum daily streamflow: 294 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,340,371,425,503,572,654,748,981,"1,290","1,770","2,560","4,390","8,190",1,335,305,296,291,288
,,,,,,,,,,,,,,7,352,317,307,302,299
,,,,,,,,,,,,,,30,449,377,355,342,332
,,,,,,,,,,,,,,90,687,499,429,381,336
May–November,328,349,382,414,454,510,563,700,887,"1,160","1,630","2,600","5,400",1,330,300,290,285,281
,,,,,,,,,,,,,,7,348,314,305,301,298
,,,,,,,,,,,,,,30,442,375,355,343,335
,,,,,,,,,,,,,,90,701,513,441,391,344
December–February,474,550,617,714,819,928,"1,050","1,320","1,710","2,380","3,810","5,740","9,810",1,534,418,379,353,331
,,,,,,,,,,,,,,7,671,519,461,421,383
,,,,,,,,,,,,,,30,"1,450",926,739,615,503
,,,,,,,,,,,,,,90,"3,400","2,290","1,820","1,490","1,170"
September–November,314,334,350,369,390,415,443,527,651,856,"1,150","1,730","3,560",1,335,301,291,285,280
,,,,,,,,,,,,,,7,362,316,304,298,294
,,,,,,,,,,,,,,30,512,373,332,309,290
,,,,,,,,,,,,,,90,"1,200",688,521,417,327
"03229796—Walnut Creek at Ashville OH—Statistics based on water years: 2006–2020
Harmonic mean flow: 88.6 ft3/s—Average streamflow: 332 ft3/s—Minimum daily streamflow: 12.2 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,23.4,28.1,36.1,46,56,66.5,77.9,109,146,193,260,384,728,1,24.4,16.7,13.8,11.8,9.97
,,,,,,,,,,,,,,7,27.2,19.2,16.3,14.4,12.6
,,,,,,,,,,,,,,30,40.4,28.5,23.9,20.8,17.8
,,,,,,,,,,,,,,90,61.4,39.6,31.6,26.4,21.6
May–November,21.3,25.4,29.6,34.4,39.6,46.3,52,67.4,85.6,111,155,214,401,1,24.8,17.1,14.1,12.1,10.2
,,,,,,,,,,,,,,7,27.4,19.5,16.7,14.7,12.9
,,,,,,,,,,,,,,30,39.5,28.3,24,21.2,18.4
,,,,,,,,,,,,,,90,60.9,40.1,32.6,27.6,23
December–February,46.3,61,76.6,98,110,125,138,173,219,279,372,555,963,1,65.1,38.1,28.3,22,16.4
,,,,,,,,,,,,,,7,76.8,45.1,33.4,25.8,19.1
,,,,,,,,,,,,,,30,181,134,117,107,97.1
,,,,,,,,,,,,,,90,395,277,231,200,170
September–November,18,22.5,25.4,27.8,30.7,33.6,36.6,46.5,58.2,73.9,95.7,162,316,1,26.7,18.2,14.9,12.7,10.6
,,,,,,,,,,,,,,7,28.3,19.6,17,15.5,14.3
,,,,,,,,,,,,,,30,44.6,29,24.8,22.4,20.5
,,,,,,,,,,,,,,90,99.1,51.4,38,30.2,23.8
"03230310—Little Darby Creek at West Jefferson OH—Statistics based on water years: 1993–2005, 2010–2020
Harmonic mean flow: 20.1 ft3/s—Average streamflow: 184 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3.96,6.14,9.36,12.5,16,20.3,27.6,48,75,108,154,232,448,1,6.08,2.47,1.12,0.19,0
,,,,,,,,,,,,,,7,6.62,3,1.61,0.44,0
,,,,,,,,,,,,,,30,11.5,3.32,1.18,0.41,0.1
,,,,,,,,,,,,,,90,17.1,7.62,5.07,3.64,2.53
May–November,2.8,4.78,6.7,8.84,11,13,15.1,22,34.7,53.4,84.4,140,298,1,5.79,2.39,1.13,0.26,0
,,,,,,,,,,,,,,7,6.32,2.91,1.62,0.56,0
,,,,,,,,,,,,,,30,11.1,3.26,1.19,0.42,0.1
,,,,,,,,,,,,,,90,16.2,7.27,4.89,3.56,2.52
December–February,10,14,20.9,29.4,38.7,50,62,85,111,145,198,294,533,1,25.2,11.8,7.66,5.29,3.43
,,,,,,,,,,,,,,7,29.5,14.3,9.61,6.86,4.65
,,,,,,,,,,,,,,30,63.2,30,19.9,14,9.33
,,,,,,,,,,,,,,90,210,136,108,89,71.6
September–November,0.93,4.3,5.58,6.4,7.3,8.42,9.8,12.5,15.9,20.8,30,53,121,1,5.95,2.48,1.29,0.4,0
,,,,,,,,,,,,,,7,6.57,3.32,2.18,1.16,0
,,,,,,,,,,,,,,30,15.7,4.66,1.62,0.53,0.11
,,,,,,,,,,,,,,90,33.1,11.9,6.98,4.48,2.72
"03230450—Hellbranch Run near Harrisburg OH—Statistics based on water years: 1993–2020
Harmonic mean flow: 1.02 ft3/s—Average streamflow: 42.1 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0,0,0.48,1.2,2.1,3.2,4.6,8.06,13,19.6,30,48.4,99.5,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0.08,0,0,0,0
,,,,,,,,,,,,,,30,0.58,0.02,0,0,0
,,,,,,,,,,,,,,90,3.03,0.84,0.36,0.12,0
May–November,0,0,0.04,0.35,0.8,1.3,1.9,3.4,5.6,8.59,14,24.8,57.1,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0.06,0,0,0,0
,,,,,,,,,,,,,,30,0.51,0.02,0,0,0
,,,,,,,,,,,,,,90,3.05,0.88,0.39,0.14,0
December–February,0.63,1.7,3.72,5.59,7.81,10,12.8,18,23.8,32,45,69.7,142,1,3.11,1.02,0.49,0.18,0
,,,,,,,,,,,,,,7,4.48,1.67,0.86,0.35,0
,,,,,,,,,,,,,,30,17.2,8.18,5.22,3.49,2.14
,,,,,,,,,,,,,,90,53.2,36.7,30.5,26.4,22.5
September–November,0,0,0,0,0.12,0.42,0.74,1.5,2.59,4.6,7.35,13.1,30.8,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0.123,0,0,0,0
,,,,,,,,,,,,,,30,1.2,0.05,0,0,0
,,,,,,,,,,,,,,90,11.5,1.86,0.43,0.09,0.01
"03230500—Big Darby Creek at Darbyville OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 101 ft3/s—Average streamflow: 556 ft3/s—Minimum daily streamflow: 3.90 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,20.6,28.9,39,49,62,79,99.4,150,220,308,452,700,"1,330",1,25,13.8,9.87,7.34,5.17
,,,,,,,,,,,,,,7,27.6,15.8,11.5,8.75,6.35
,,,,,,,,,,,,,,30,34.9,21.2,16.8,13.9,11.5
,,,,,,,,,,,,,,90,63.1,35.8,27.8,23.1,19.1
May–November,17,23.6,30.5,37,44,51,60,83.9,119,169,245,389,789,1,24.6,13.6,9.74,7.28,5.16
,,,,,,,,,,,,,,7,27.3,15.5,11.3,8.67,6.33
,,,,,,,,,,,,,,30,35,21.1,16.6,13.8,11.3
,,,,,,,,,,,,,,90,64.2,36.2,28,23.1,19
December–February,39,51,78,100,126,150,183,243,332,446,632,941,"1,790",1,85.4,50.7,38.8,31.3,24.6
,,,,,,,,,,,,,,7,98,57.4,43.5,34.7,26.9
,,,,,,,,,,,,,,30,200,100,69.4,51.1,36
,,,,,,,,,,,,,,90,699,412,296,219,151
September–November,14,20,25,28.8,31.7,36,40,50,64,86,123,215,436,1,25.4,14,10.3,7.93,5.91
,,,,,,,,,,,,,,7,28.2,15.8,11.8,9.34,7.2
,,,,,,,,,,,,,,30,42.4,23,17.5,14.3,11.6
,,,,,,,,,,,,,,90,127,55,36.1,25.7,17.7
"03230700—Scioto River at Circleville OH—Statistics based on water years: 1975–1979, 2012–2020
Harmonic mean flow: 1320 ft3/s—Average streamflow: 3810 ft3/s—Minimum daily streamflow: 287 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,390,470,556,659,788,900,"1,030","1,360","1,840","2,430","3,420","5,510","9,620",1,403,332,303,284,265
,,,,,,,,,,,,,,7,435,352,322,302,284
,,,,,,,,,,,,,,30,562,430,381,348,317
,,,,,,,,,,,,,,90,855,613,525,466,413
May–November,388,447,502,555,618,695,782,955,"1,180","1,520","2,070","2,970","5,860",1,400,338,315,300,286
,,,,,,,,,,,,,,7,440,369,344,329,317
,,,,,,,,,,,,,,30,570,470,438,419,403
,,,,,,,,,,,,,,90,888,667,588,536,489
December–February,320,620,846,"1,000","1,200","1,400","1,600","2,080","2,650","3,500","5,170","7,480","12,600",1,835,530,418,343,275
,,,,,,,,,,,,,,7,"1,050",654,504,404,312
,,,,,,,,,,,,,,30,"2,190","1,120",735,497,305
,,,,,,,,,,,,,,90,"5,000","2,910","2,020","1,420",905
September–November,383,438,475,504,533,573,616,731,890,"1,100","1,400","2,080","3,890",1,403,344,329,321,316
,,,,,,,,,,,,,,7,472,395,374,363,355
,,,,,,,,,,,,,,30,661,476,419,384,355
,,,,,,,,,,,,,,90,"1,320",790,625,524,437
"03230800—Deer Creek at Mount Sterling OH—Statistics based on water years: 1975–1981, 1996–2020
Harmonic mean flow: 39.9 ft3/s—Average streamflow: 260 ft3/s—Minimum daily streamflow: 0.89 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,7.1,11,17,23,31.9,40.5,51,77.8,109,152,210,306,558,1,9.52,3.71,2.14,1.31,0.732
,,,,,,,,,,,,,,7,11.9,4.88,2.86,1.77,1
,,,,,,,,,,,,,,30,16.6,8.22,5.71,4.24,3.04
,,,,,,,,,,,,,,90,31.1,15.6,11,8.28,6.08
May–November,5.53,9,12.9,16.7,20.3,25,31,43.1,60,84,116,183,355,1,9.27,3.58,2.06,1.27,0.72
,,,,,,,,,,,,,,7,11.6,4.67,2.74,1.71,0.97
,,,,,,,,,,,,,,30,16.5,7.99,5.47,4,2.82
,,,,,,,,,,,,,,90,30.8,15.1,10.6,7.94,5.82
December–February,10,21.3,38,52,68.5,85,102,140,177,220,289,412,729,1,44.9,19,11.1,6.78,3.69
,,,,,,,,,,,,,,7,52.6,22.5,13.3,8.26,4.6
,,,,,,,,,,,,,,30,124,59.8,38.2,25.5,15.5
,,,,,,,,,,,,,,90,325,204,155,122,91.2
September–November,2.9,6.4,9.26,11.4,13.8,17,20,28.7,38,51,69,102,207,1,9.6,3.52,2.02,1.26,0.73
,,,,,,,,,,,,,,7,12.5,4.83,2.84,1.8,1.06
,,,,,,,,,,,,,,30,19.5,8.55,5.68,4.1,2.88
,,,,,,,,,,,,,,90,55.1,22.5,14.5,10.2,6.92
"03231500—Scioto River at Chillicothe OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 1550 ft3/s—Average streamflow: 4300 ft3/s—Minimum daily streamflow: 286 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,455,561,677,783,912,"1,060","1,240","1,620","2,120","2,820","4,010","6,270","11,200",1,491,387,347,320,294
,,,,,,,,,,,,,,7,540,420,376,345,317
,,,,,,,,,,,,,,30,665,511,462,433,408
,,,,,,,,,,,,,,90,"1,000",693,590,524,466
May–November,431,501,593,660,737,815,907,"1,140","1,440","1,850","2,500","3,690","7,250",1,491,386,346,319,294
,,,,,,,,,,,,,,7,542,422,377,346,318
,,,,,,,,,,,,,,30,674,519,469,439,414
,,,,,,,,,,,,,,90,"1,020",707,603,536,478
December–February,640,766,960,"1,170","1,370","1,550","1,770","2,260","2,930","3,930","5,630","8,530","14,000",1,963,677,573,503,440
,,,,,,,,,,,,,,7,"1,090",752,633,556,485
,,,,,,,,,,,,,,30,"1,990","1,200",927,753,598
,,,,,,,,,,,,,,90,"5,140","3,300","2,540","2,030","1,540"
September–November,396,445,519,587,638,689,741,863,"1,030","1,290","1,680","2,380","4,280",1,508,390,347,319,294
,,,,,,,,,,,,,,7,571,433,385,353,325
,,,,,,,,,,,,,,30,796,547,465,413,367
,,,,,,,,,,,,,,90,"1,580",959,757,631,521
"03232000—Paint Creek near Greenfield OH—Statistics based on water years: 1975–1981, 1996–2011, 2013–2020
Harmonic mean flow: 13.4 ft3/s—Average streamflow: 310 ft3/s—Minimum daily streamflow: 0.08 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.7,3.9,8.2,13.7,21.7,33.4,48.2,81,116,163,239,376,764,1,3.41,0.96,0.45,0.23,0.1
,,,,,,,,,,,,,,7,4.31,1.41,0.74,0.42,0.22
,,,,,,,,,,,,,,30,7.18,3.11,2.12,1.58,1.17
,,,,,,,,,,,,,,90,24.4,9.19,5.49,3.57,2.2
May–November,1.05,2.59,4.9,7.68,11,15,20,35,58.8,89,132,215,441,1,3.22,0.93,0.45,0.23,0.11
,,,,,,,,,,,,,,7,4.09,1.35,0.72,0.42,0.23
,,,,,,,,,,,,,,30,6.99,3.03,2.07,1.55,1.16
,,,,,,,,,,,,,,90,23,8.86,5.41,3.6,2.28
December–February,8,13,37,58.3,74,86.6,100,134,180,246,343,529,"1,010",1,41.8,14.6,7.12,3.58,1.48
,,,,,,,,,,,,,,7,51.7,19.2,9.79,5.16,2.28
,,,,,,,,,,,,,,30,139,55.7,30.4,17.2,8.34
,,,,,,,,,,,,,,90,388,232,169,128,90.3
September–November,0.64,1.35,2.7,3.9,5.46,6.89,9.1,14.4,23,39,64,113,242,1,3.4,0.92,0.45,0.24,0.12
,,,,,,,,,,,,,,7,4.3,1.33,0.72,0.43,0.24
,,,,,,,,,,,,,,30,10.6,3.71,2.29,1.59,1.09
,,,,,,,,,,,,,,90,48.3,14.9,8.06,4.84,2.72
