object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
15179,W,DOMESTIC,-84.07361999999999,40.665929999999996,GEOCODE,ALLEN,SHAWNEE,1981-11-28,64.0,937.2999877929688,GRAVEL,,15.0,42.0,64.0,,526360
15180,W,DOMESTIC,-84.12595,40.66466,,ALLEN,SHAWNEE,1985-08-02,32.0,873.2999877929688,GRAVEL,,20.0,15.0,32.0,,649692
15183,W,DOMESTIC,-84.312297,40.685981,DIGITIZED,ALLEN,AMANDA,1955-09-28,90.0,855.9000244140625,LIMESTONE,,,,78.0,78,121438
20155,W,,-84.157876,40.737573999999995,DIGITIZED,ALLEN,AMERICAN,,104.0,839.5,LIMESTONE,,,,,90,66455
20275,W,,-84.071866,40.81522,DIGITIZED,ALLEN,BATH,1948-05-09,73.0,842.0,LIMESTONE,,,22.0,52.0,70,30657
20282,W,,-84.02372799999999,40.833092,DIGITIZED,ALLEN,MONROE,,49.0,839.4000244140625,LIMESTONE,,,,42.0,42,56727
20284,W,,-83.935603,40.861792,DIGITIZED,ALLEN,RICHLAND,1950-08-19,62.0,851.0999755859375,LIMESTONE,,,20.0,39.0,37,71069
20295,W,,-84.185198,40.843145,DIGITIZED,ALLEN,SUGAR CREEK,1950-09-01,131.0,782.9000244140625,LIMESTONE,,,,24.0,24,56726
21604,W,DOMESTIC,-83.92121999999999,40.70795,,ALLEN,AUGLAIZE,1997-04-15,66.0,983.9000244140625,LIMESTONE,ROTARY,20.0,15.0,51.0,51,851185
22141,W,DOMESTIC,-84.26084999999999,40.69847,,ALLEN,AMANDA,1996-11-30,110.0,840.4000244140625,LIMESTONE,ROTARY,20.0,39.0,47.0,37,846071
22248,W,DOMESTIC,-84.08968,40.704,GEOCODE,ALLEN,PERRY,1998-06-13,210.0,894.5999755859375,LIMESTONE,ROTARY,15.0,30.0,96.0,80,866880
22251,W,DOMESTIC,-83.93580999999999,40.90885,GEOCODE,ALLEN,RICHLAND,1999-07-30,41.0,808.7999877929688,LIMESTONE,ROTARY,42.0,20.0,25.0,24,878865
