object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
58867,W,DOMESTIC,-84.27946899999999,40.263253,GLOBAL POSITIONING SYSTEM,SHELBY,WASHINGTON,2016-03-16,113.0,,SAND & GRAVEL,ROTARY,18.0,66.0,110.0,,2056360
58926,W,DEWATERING WELL,-84.24,40.22,MAP-OTHERS,SHELBY,WASHINGTON,2016-06-01,35.0,,SAND & GRAVEL,ROTARY,,7.0,35.0,,2057442
58970,W,DOMESTIC,-84.28496,40.436209999999996,GLOBAL POSITIONING SYSTEM,SHELBY,VAN BUREN,2016-03-21,116.0,,SAND & GRAVEL,ROTARY,20.0,54.0,113.0,,2056478
59077,W,DOMESTIC,-84.19275999999999,40.21664,GLOBAL POSITIONING SYSTEM,SHELBY,ORANGE,2017-01-12,128.0,,LIMESTONE,ROTARY,30.0,41.0,78.0,64,2060826
59112,W,DOMESTIC,-84.23420999999999,40.23252,GLOBAL POSITIONING SYSTEM,SHELBY,WASHINGTON,2015-06-12,202.0,966.4000244140625,LIMESTONE,ROTARY,18.0,54.0,130.0,122,2052403
59117,W,DOMESTIC,-84.32021,40.27496,GLOBAL POSITIONING SYSTEM,SHELBY,CYNTHIAN,2015-03-19,112.0,1013.5,SAND & GRAVEL,ROTARY,20.0,92.0,108.0,,2051354
59169,W,DOMESTIC,-84.31732,40.3721,GLOBAL POSITIONING SYSTEM,SHELBY,MCLEAN,2016-10-05,143.0,,LIMESTONE,ROTARY,30.0,30.0,98.0,90,2059251
59287,W,DOMESTIC,-84.11057,40.34661,GLOBAL POSITIONING SYSTEM,SHELBY,SALEM,2016-10-24,104.0,,SAND & GRAVEL,ROTARY,15.0,71.0,101.0,,2059615
59370,W,,-84.35767,40.331309,DIGITIZED,SHELBY,MCLEAN,1948-05-11,85.0,968.5999755859375,GRAVEL,,25.0,30.0,85.0,,42412
59496,W,MONITOR,-84.155,40.301666,GLOBAL POSITIONING SYSTEM,SHELBY,CLINTON,2000-07-28,9.0,,CLAY,AUGER,,,9.0,,911953
59497,W,DOMESTIC,-84.189555,40.246117,DIGITAL MAP,SHELBY,CLINTON,1999-11-23,202.0,989.0,LIMESTONE,ROTARY,15.0,86.0,92.0,84,905968
59517,W,DOMESTIC,-84.33762,40.305949999999996,GLOBAL POSITIONING SYSTEM,SHELBY,CYNTHIAN,2019-11-26,100.0,,SAND & GRAVEL,ROTARY,30.0,46.0,97.0,,2076982
59540,W,DOMESTIC,-84.047483,40.33952,DIGITAL MAP,SHELBY,SALEM,1999-01-19,70.0,,GRAVEL,AIR HAMMER,50.0,18.0,59.0,,885746
59578,W,DOMESTIC,-84.384186,40.274017,DIGITAL MAP,SHELBY,CYNTHIAN,2000-06-29,182.0,,LIMESTONE,ROTARY,18.0,35.0,85.5,79,915427
59593,W,DOMESTIC,-84.20380999999999,40.37795,GLOBAL POSITIONING SYSTEM,SHELBY,FRANKLIN,2018-05-15,76.0,,SAND & GRAVEL,ROTARY,20.0,46.0,73.0,,2067850
59594,W,COMMERCIAL,-84.245583,40.266486,DIGITAL MAP,SHELBY,WASHINGTON,1999-07-01,182.0,,LIMESTONE,ROTARY,150.0,47.0,81.0,75,897205
59623,W,DOMESTIC,-84.33354,40.2419,GLOBAL POSITIONING SYSTEM,SHELBY,LORAMIE,2019-01-09,124.0,,SAND & GRAVEL,ROTARY,20.0,39.0,121.0,,2071746
59632,W,DOMESTIC,-84.11698299999999,40.290755999999995,DIGITAL MAP,SHELBY,PERRY,2000-02-15,202.0,,LIMESTONE,AIR ROTARY,12.0,65.0,178.0,172,908479
59652,W,DOMESTIC,-84.145984,40.450699,DIGITAL MAP,SHELBY,DINSMORE,1998-11-16,85.0,,GRAVEL,ROTARY,40.0,37.0,80.0,,863888
59706,W,DOMESTIC,-84.4298,40.381121,DIGITAL MAP,SHELBY,MCLEAN,1999-08-06,122.0,,LIMESTONE,AIR ROTARY,20.0,27.0,76.0,71,899102
59715,W,DOMESTIC,-84.14648,40.265609999999995,GLOBAL POSITIONING SYSTEM,SHELBY,ORANGE,2019-06-28,201.0,,LIMESTONE,AIR ROTARY,40.0,69.0,133.0,,2074222
59784,W,DOMESTIC,-84.12187999999999,40.33295,DIGITAL MAP,SHELBY,SALEM,1998-10-01,112.0,622.0,GRAVEL & SAND,AIR ROTARY,20.0,38.0,109.0,,883679
59796,W,DOMESTIC,-84.238244,40.291785999999995,DIGITAL MAP,SHELBY,TURTLE CREEK,2000-07-15,139.0,745.2000122070312,LIMESTONE,ROTARY,20.0,37.0,56.5,49,918020
59799,W,DOMESTIC,-84.135667,40.388563999999995,DIGITAL MAP,SHELBY,FRANKLIN,1999-12-01,40.0,,GRAVEL & SAND,ROTARY,20.0,18.0,37.5,,905981
59800,W,DOMESTIC,-84.118624,40.336732999999995,DIGITAL MAP,SHELBY,SALEM,1999-07-21,80.0,,GRAVEL & SAND,ROTARY,15.0,67.0,78.0,,899076
59973,W,DOMESTIC,-84.07920999999999,40.340489999999996,GLOBAL POSITIONING SYSTEM,SHELBY,SALEM,2018-01-19,98.0,,SAND & GRAVEL,ROTARY,15.0,66.0,95.0,,2066420
60006,W,DOMESTIC,-84.03365,40.269917,GLOBAL POSITIONING SYSTEM,SHELBY,PERRY,2018-07-25,57.0,,SAND & GRAVEL,ROTARY,30.0,16.0,55.0,,2069422
60098,W,DOMESTIC,-84.141965,40.237722,DIGITAL MAP,SHELBY,ORANGE,1998-10-09,113.0,,GRAVEL,AIR ROTARY,65.0,40.0,104.0,,881836
60101,W,DOMESTIC,-84.120018,40.424033,DIGITAL MAP,SHELBY,DINSMORE,2000-09-20,85.0,,SAND & GRAVEL,ROTARY,25.0,39.0,83.0,,920766
60151,W,DOMESTIC,-84.375795,40.306433,DIGITAL MAP,SHELBY,CYNTHIAN,2000-05-02,205.0,,LIMESTONE,ROTARY,20.0,77.0,167.0,159,912304
60152,W,DOMESTIC,-84.38003599999999,40.315396,DIGITAL MAP,SHELBY,CYNTHIAN,2000-03-24,222.0,,LIMESTONE,ROTARY,18.0,60.0,165.0,155,912343
60161,W,DOMESTIC,-84.017659,40.249381,DIGITAL MAP,SHELBY,GREEN,1999-12-13,157.0,,LIMESTONE,ROTARY,15.0,16.0,157.0,150,906381
60162,W,DOMESTIC,-84.048918,40.467998,DIGITAL MAP,SHELBY,JACKSON,1998-12-05,101.0,,GRAVEL & SAND,ROTARY,25.0,11.0,98.0,,889038
60170,W,DOMESTIC,-84.11219,40.3269,DIGITAL MAP,SHELBY,SALEM,1999-06-10,226.0,,GRAVEL & SAND,AIR ROTARY,50.0,73.0,223.0,,897162
60212,W,,-84.207272,40.409918,DGS SURFICIAL MAPPING,SHELBY,DINSMORE,1950-08-09,88.0,987.2000122070312,GRAVEL,,24.0,17.0,88.0,,60165
65272,W,,-84.135432,40.193211,DIGITIZED,SHELBY,ORANGE,1958-07-30,147.0,1054.0999755859375,GRAVEL,,20.0,30.0,,,199327
65273,W,,-84.026478,40.235291,DIGITIZED,SHELBY,GREEN,1953-09-28,108.0,1084.699951171875,GRAVEL,,10.0,34.0,108.0,,43273
65274,W,,-84.077691,40.23115,DIGITIZED,SHELBY,GREEN,1952-10-22,130.0,1089.699951171875,LIMESTONE,,20.0,33.0,128.0,128,100805
65292,W,DOMESTIC,-84.209459,40.229974999999996,,SHELBY,WASHINGTON,1990-09-12,120.0,989.0999755859375,LIMESTONE,ROTARY,20.0,72.0,97.0,93,721301
65375,W,,-84.194923,40.266791999999995,DIGITIZED,SHELBY,CLINTON,1950-06-26,136.0,1015.7000122070312,LIMESTONE,,,60.0,82.0,71,30777
65376,W,,-84.175945,40.381319,DIGITIZED,SHELBY,FRANKLIN,1948-05-08,112.0,1044.9000244140625,GRAVEL,,24.0,58.0,112.0,,23440
65380,W,,-84.35507199999999,40.211543,DIGITIZED,SHELBY,LORAMIE,1948-11-26,76.0,971.0,GRAVEL,,20.0,30.0,76.0,,47907
65381,W,,-84.43346,40.334322,DIGITIZED,SHELBY,MCLEAN,1950-07-26,95.0,954.7000122070312,GRAVEL,,10.0,16.0,95.0,,53434
65382,W,,-84.339919,40.367359,DIGITIZED,SHELBY,MCLEAN,1949-07-14,72.0,956.0,GRAVEL,,6.0,,72.0,,36741
65393,W,DOMESTIC,-84.37651,40.24028,,SHELBY,LORAMIE,1996-08-04,50.0,965.9000244140625,GRAVEL,ROTARY,40.0,25.0,39.0,,838611
65399,W,,-84.055604,40.230802,,SHELBY,GREEN,1970-12-29,114.0,1101.300048828125,SAND & GRAVEL,,15.0,43.0,114.0,,416288
65400,W,,-84.121681,40.445584,DGS SURFICIAL MAPPING,SHELBY,DINSMORE,1964-04-30,114.0,1049.199951171875,SAND & GRAVEL,,20.0,36.0,114.0,,217136
65401,W,,-84.150881,40.316286,DIGITIZED,SHELBY,CLINTON,1967-03-30,154.0,1050.800048828125,LIMESTONE,,25.0,83.0,119.0,118,361055
65404,W,,-84.298378,40.387437,DIGITIZED,SHELBY,MCLEAN,1958-07-01,54.0,961.4000244140625,LIMESTONE,,,,61.0,54,123384
65405,W,,-84.10368299999999,40.305389999999996,DIGITIZED,SHELBY,PERRY,1953-09-28,79.0,832.2999877929688,GRAVEL,,10.0,37.0,79.0,,43274
65406,W,,-84.293173,40.344429,DIGITIZED,SHELBY,MCLEAN,1962-10-01,148.0,996.2999877929688,LIMESTONE,,35.0,42.0,105.0,98,281430
65407,W,,-84.342958,40.259785,DIGITIZED,SHELBY,LORAMIE,1955-03-18,147.0,983.0999755859375,GRAVEL,,10.0,60.0,147.0,,132378
65408,W,,-84.397853,40.233968,DIGITIZED,SHELBY,LORAMIE,1962-04-02,62.0,971.5,LIMESTONE,,18.0,14.0,51.0,51,271465
65411,W,,-84.245449,40.287546999999996,DIGITIZED,SHELBY,TURTLE CREEK,1957-03-21,58.0,639.2999877929688,GRAVEL,,,45.0,58.0,,161223
65412,W,,-84.24542,40.286209,DIGITIZED,SHELBY,TURTLE CREEK,1953-09-28,44.0,562.2000122070312,GRAVEL,,10.0,31.0,44.0,,43261
65413,W,,-84.227171,40.287535999999996,DIGITIZED,SHELBY,TURTLE CREEK,1952-12-12,64.0,606.7000122070312,LIMESTONE,,7.0,29.0,50.0,50,93339
65414,W,,-84.24676,40.352610999999996,DIGITIZED,SHELBY,TURTLE CREEK,1960-09-19,67.0,813.0,GRAVEL,,14.0,36.0,67.0,,246514
65415,W,,-84.412015,40.232543,DIGITIZED,SHELBY,LORAMIE,1965-12-20,140.0,972.0999755859375,LIMESTONE,,,0.0,70.0,10,313991
65417,W,,-84.01904499999999,40.370176,DIGITIZED,SHELBY,SALEM,1955-03-24,81.0,1036.9000244140625,GRAVEL,,10.0,52.0,81.0,,146654
65424,W,,-84.24391399999999,40.26256,DIGITIZED,SHELBY,WASHINGTON,1955-04-10,50.0,834.2999877929688,GRAVEL & CLAY,,20.0,28.0,50.0,,151353
65425,W,,-84.252845,40.257162,DIGITIZED,SHELBY,WASHINGTON,1953-12-06,73.0,939.5,LIMESTONE,,10.0,26.0,71.0,71,43287
65527,W,,-84.369428,40.305242,DIGITIZED,SHELBY,CYNTHIAN,1956-04-10,118.0,994.2999877929688,GRAVEL,,18.0,65.0,118.0,,160165
65528,W,,-84.368134,40.328336,DIGITIZED,SHELBY,CYNTHIAN,1959-02-23,115.0,968.5,GRAVEL,,45.0,47.0,115.0,,206294
65529,W,,-84.37110299999999,40.310562999999995,DIGITIZED,SHELBY,CYNTHIAN,1967-11-24,187.0,1012.2000122070312,LIMESTONE,,12.0,77.0,177.0,177,375166
65530,W,,-84.154585,40.30264,DIGITIZED,SHELBY,CLINTON,1954-07-22,250.0,744.0999755859375,LIMESTONE,,,78.0,140.0,140,131731
67625,W,DOMESTIC,-84.32654,40.24192,GEOCODE,SHELBY,LORAMIE,1997-12-19,182.0,964.7999877929688,LIMESTONE,ROTARY,18.0,40.0,139.0,129,867171
68344,W,DOMESTIC,-84.191778,40.349343999999995,GEOCODE,SHELBY,FRANKLIN,2001-09-01,76.0,831.7999877929688,,ROTARY,50.0,45.0,72.0,,934663
68431,W,DOMESTIC,-84.17297599999999,40.409557,,SHELBY,DINSMORE,2001-01-17,85.0,1018.5999755859375,SAND & GRAVEL,ROTARY,20.0,29.0,83.0,,924296
68489,W,,-84.35495999999999,40.22663,GEOCODE,SHELBY,LORAMIE,2001-05-25,63.0,958.5,GRAVEL & SAND,ROTARY,20.0,22.0,60.0,,931644
68490,W,DOMESTIC,-84.412329,40.228826,,SHELBY,LORAMIE,2001-07-21,98.0,978.2999877929688,GRAVEL & SAND,ROTARY,20.0,17.0,95.0,,934601
68559,W,DOMESTIC,-84.121236,40.333323,GEOCODE,SHELBY,SALEM,2001-10-09,100.0,1054.9000244140625,GRAVEL,ROTARY,60.0,36.0,97.0,,937836
68599,W,DOMESTIC,-84.29047,40.30768,GEOCODE,SHELBY,CYNTHIAN,2001-06-27,182.0,1014.5999755859375,LIMESTONE,ROTARY,20.0,72.0,129.0,123,931686
68615,W,DOMESTIC,-84.27617,40.21454,GEOCODE,SHELBY,WASHINGTON,2002-07-30,181.0,977.7999877929688,GRAVEL,ROTARY,75.0,73.0,179.0,,948495
68642,W,DOMESTIC,-84.18476,40.48211,GEOCODE,SHELBY,DINSMORE,2001-07-06,100.0,1015.2000122070312,GRAVEL/SAND/ROCK,ROTARY,20.0,43.0,98.0,,931700
68688,W,DOMESTIC,-84.06875,40.38874,GEOCODE,SHELBY,JACKSON,2001-07-06,63.0,1043.0,GRAVEL & SAND,ROTARY,20.0,23.0,60.0,,931701
68740,W,DOMESTIC,-84.10459,40.46853,GEOCODE,SHELBY,DINSMORE,2001-01-14,97.0,1047.199951171875,GRAVEL,ROTARY,25.0,40.0,94.0,,942288
69051,W,,-84.339807,40.259156,DIGITIZED,SHELBY,LORAMIE,1951-04-24,122.0,977.5,GRAVEL,,20.0,46.0,122.0,,47945
69061,W,DOMESTIC,-84.108578,40.374027,GEOCODE,SHELBY,SALEM,2002-12-23,51.0,601.9000244140625,GRAVEL & SAND,ROTARY,40.0,28.0,48.0,,955486
69193,W,DOMESTIC,-84.26705,40.39232,GLOBAL POSITIONING SYSTEM,SHELBY,VAN BUREN,2003-08-06,137.0,963.7999877929688,LIMESTONE,ROTARY,40.0,9.0,74.0,64,965159
69215,W,DOMESTIC,-84.13606999999999,40.43449,GLOBAL POSITIONING SYSTEM,SHELBY,DINSMORE,2003-09-03,102.0,1045.5999755859375,SAND & GRAVEL,ROTARY,60.0,40.0,100.0,,967252
69218,W,,-84.352375,40.378434999999996,DGS SURFICIAL MAPPING,SHELBY,MCLEAN,1950-09-05,89.0,965.5,GRAVEL,,10.0,24.0,89.0,,53440
69371,W,DOMESTIC,-84.41269,40.23359,GLOBAL POSITIONING SYSTEM,SHELBY,LORAMIE,2003-09-05,73.0,973.0,SAND & GRAVEL,ROTARY,100.0,13.0,70.0,,967258
